Puzzle/Lock/SunFlowerLock/Before,"Дерев’яна скринька з намальованими соняшниками.
Коли вона тут з’явилася..."
Puzzle/Preview/CoffeeStorePainting/Ch123,"Сонце, місце в кутку і добра кава.
Як би я хотіла провести тут пообіддя!"
Puzzle/Preview/LavenderPainting/Ch123,"Як же було б гарно прогулятися
цим лавандовим полем!"
Puzzle/Preview/RyePainting/Ch123,"Посеред цього золотого пшеничного поля
стоїть мольберт. Як хочеться там помалювати!"
Puzzle/Repair/GroceryStorePaintingA/Before,"Це бакалійна крамниця. Червона парасолька така промовиста,
але картині наче чогось бракує..."
Puzzle/Repair/HillPainting/Before,"Спокійний луг і гори вдалині.
Наче чогось бракує..."
Puzzle/Repair/StreetPainting/Before,"Ці двоє на картині такі близькі.
Цікаво, ким вони одне одному доводяться..."
Puzzle/Repair/UmbrellaOilPainting/Before,"Перехожі йдуть присмерковим містом дощового
дня. Тільки картина якась простувата..."
Puzzle/Painting/Neighbor_Yellow/Correct/1,Ось так!
Puzzle/Painting/Neighbor_Yellow/Correct/2,"Після стількох спроб
нарешті все на своєму місці!"
Puzzle/Painting/Neighbor_Yellow/Correct/3,На крок ближче до виставки!
Puzzle/Painting/Neighbor_Yellow/Start,Де в чернетці я малювала жовтим?
Puzzle/Painting/MainPainting/Duplicated/1,Цю частину я вже зафарбувала...
Puzzle/Painting/MainPainting/Duplicated/2,Ця частина вже готова...
Puzzle/Painting/MainPainting/Duplicated/3,Треба бути уважнішою...
Puzzle/Painting/MainPainting/IncorrectBoth/1,"Здається, потрібної фарби в мене немає...
Спершу попрацюю над рештою картини."
Puzzle/Painting/MainPainting/IncorrectBoth/2,"Кольору для цього місця в мене немає...
Спершу попрацюю над рештою картини."
Puzzle/Painting/MainPainting/IncorrectBoth/3,"Потрібного кольору немає... Спершу
попрацюю над рештою картини."
Puzzle/Painting/MainPainting/IncorrectColor/1,Цей колір якийсь не такий...
Puzzle/Painting/MainPainting/IncorrectColor/2,Виглядає трохи недоречно...
Puzzle/Painting/MainPainting/IncorrectColor/3,Колір ніби не той...
Hint/NPC/Room/Brush,Спершу треба взяти пензель.
Item/Brush_Jack_After/Desc,"Він подарував мені цей пензель, на ньому вигравіруване його ім’я.
Пензель старомодний, але найдорожчий для мене."
Item/Brush_Jack_After/Title,Пензель Джека
Puzzle/Routine/Day_Coffee_Ch1/End,"О, запах кави! Мій улюблений!"
Puzzle/Routine/Day_Coffee_Ch1/Start,"Зварю чашку кави, щоб
легше малювалося."
Puzzle/Routine/Day_Computer_Ch1/FinalStep,"На сьогодні досить.
Продовжу завтра."
Puzzle/Routine/Day_Computer_Ch1/Start,"Резюме готове лише наполовину.
Час довести справу до кінця!"
Puzzle/Routine/Day_Kitchen_Ch1/Eat,Пахне чудово! Скоріше б скуштувати!
Puzzle/Routine/Day_Kitchen_Ch1/End,Наїлася! Яка насолода!
Puzzle/Routine/Day_Kitchen_Ch1/Start,"Час приготувати сніданок,
щоб мати сили на цілий день!"
Puzzle/Routine/Day_RadioA_Ch1/End,Музика є! То що далі?
Puzzle/Routine/Day_RadioA_Ch1/Start,"Увімкнути музику, щоб підняти настрій?"
Hint/Puzzle/Routine/Day_RadioA_Ch1,"Тут так тихо.
Увімкну музику!"
Item/NeighborPainting/Desc,"Чернетка моєї роботи для галереї. Якщо її
приймуть, я стану на крок ближче до мрії!"
Item/Pigment_Yellow/Desc,Обожнюю цей сонячний і живий колір!
Item/Pigment_Yellow/Title,Жовта фарба
NPC/Room/Bed/Ch123,"Нема коли байдикувати. Треба швидше
доробити роботу для галереї."
NPC/Room/Bedroom/Ch123,Моя спальня і всяке потрібне щодня.
NPC/Room/Bucket/Ch123,"Порожні банки з-під фарби, вкриті товстим шаром засохлої фарби."
NPC/Room/CabinetLower/Ch123,"Сувеніри, зібрані в подорожах."
NPC/Room/CabinetUpper/Ch123,"Тут усі мої улюблені романи. Візьму
один і почитаю, коли закінчу роботу."
NPC/Room/Calendar/Ch1,"Термін подачі вже близько.
Треба працювати старанніше!"
NPC/Room/Diploma/Ch123,"Мій диплом коледжу.
Шкода, що я не обрала мистецтво."
NPC/Room/Exhibition/Ch123,Сподіваюся колись виставити свої картини в Нью-Йорку!
NPC/Room/GraphicPoster01/Ch123,"Мої ранні роботи з графічного дизайну,
коли я була дизайнеркою-фрилансеркою."
NPC/Room/GraphicPoster02/Ch123,"Мої дизайнерські роботи, що здобули нагороди."
NPC/Room/Illustration/Ch123,"Мої картини для виставки.
Відчуваю, що треба працювати більше..."
NPC/Room/Light/Ch123,"У кімнаті й так досить світло.
Вмикати лампу нема потреби."
